borehole,comprehensive_index,stability_index,stress_index
BK-1,-0.14906587903460508,4.0354238422019365e-05,5.665945853683306
BK-2,-1.3509289507572977,2.0368397055486365e-05,0.8485733656357897
BK-3,0.7283448318873962,4.727222557759412e-05,10.29298655150966
BK-4,-0.06568721593892098,4.310272080899113e-05,6.586509501642323
BK-5,-0.42688617183478283,2.9374713041064036e-05,9.197361832475073
BK-7,0.40867275790127167,3.621143833532985e-05,12.531101791757361
BK-9,0.8735255012713268,4.9855873952593565e-05,12.520297884355312
BK-12,-0.022331101512720906,3.6722170791129176e-05,8.36152155856746
BK-19,1.2186482054741075,4.654132715091016e-05,21.0873549422547
BK-21,-0.34952396476284703,3.3528327448738997e-05,6.398466913654407
BK-31,-0.7034524359149736,2.9367704438542073e-05,4.252811383845636
BK-32,0.057443132641131794,4.216018556384071e-05,6.973826623582462
BK-35,-0.8087407583037345,2.7345792013619483e-05,5.780845308424078
BK-42,0.5118623725201383,6.0112275228327694e-05,6.056855679039326
BK-43,0.4510772149347653,5.068412574380842e-05,9.72095714533051
BK-60,-0.3308517067736433,3.3468689229015425e-05,6.562201344111871
BK-61,0.1337281373305208,3.818626923778298e-05,8.50982547614378
BK-62,0.1997292087943815,4.3318639452138824e-05,9.035389029064739
BK-63,-0.37556317792151,3.5230032706839766e-05,5.523852910035951
